,id,link,Adress,zip,city,size,price,sq_m_price,lotsize,ejerudbetaling,buildyear,energy_class,downPayment,n_rooms,selfsale,kommune,dawaID,latitude,longitude,precip,sunhours,pressure,humidity,Års middeltemperatur,Års maksimumtemperatur,Års minimumtemperatur,skybrud,stormflod,vandloeb,grundvand,radon,jordforurening,luftforurening,opklaringspct,risk,Kyst,Stoppested,Regionaltog,Fodboldbane,Modulvogntog,Bibliotek,Daginstitution,Idrætshal,Skole,Supermarked,Læge,Svømmehal,Apotek,Skov,Sø,Hospital,Motorvej,Lufthavn,S-Tog,Metro
0,1814991,https://boliga.dk/bolig/1814991,Tjørnevænget 30,4050,Skibby,43,695000,16162.0,1200,1630,1974,-,35000,3.0,False,Frederikssund,0A3F50AA-7BEF-32B8-E044-0003BA298018,55.74948000000001,11.87262,592.0553894042969,1740.1763028231535,1013.9815451882102,81.56616002863103,9.306869420138273,29.87272713401101,11.100000078027898,,,,,,,,,,1.24,0.452,14.68,3.35,14.9,5.37,5.33,5.89,5.33,5.55,6.25,15.84,8.87,2.1,3.88,21.57,13.66,66.18,19.81,51.76
1,1814910,https://boliga.dk/bolig/1814910,"Falkevej 2, Lyngøen",9370,Hals,67,698000,10417.0,1030,1151,1969,-,35000,5.0,False,Brønderslev,0A3F50C7-BE87-32B8-E044-0003BA298018,57.04391,10.35129,745.8055308948864,1731.663984818892,1012.8637140447444,83.1563720703125,8.641820907592772,28.154545523903586,12.68181813846935,,,,,,,,,,1.54,0.8290000000000001,32.29,2.52,24.01,6.83,6.51,6.77,2.69,2.5,7.09,22.42,7.11,2.44,0.988,17.72,23.3,36.0,97.37,282.93
2,1814745,https://boliga.dk/bolig/1814745,"Ingeborgvej 2 Dør/lejl. 1805, Munkens Klit",9480,Løkken,100,795000,7950.0,101817,2621,1978,-,40000,4.0,False,Brønderslev,0A3F50C8-DD17-32B8-E044-0003BA298018,57.33136999999999,9.67913,745.8055308948864,1731.663984818892,1012.8637140447444,83.1563720703125,8.641820907592772,28.154545523903586,12.68181813846935,,,,,,,,,,1.01,3.67,20.36,1.9,3.55,6.12,5.74,5.37,4.23,5.62,8.4,5.37,9.49,3.75,14.73,21.7,24.26,37.63,135.45,321.41
3,1814829,https://boliga.dk/bolig/1814829,"Tjørnehegnet 20, Kongsnæs",4850,Stubbekøbing,60,795000,13250.0,810,1124,1978,-,40000,3.0,False,Guldborgsund,0A3F50B1-6A3A-32B8-E044-0003BA298018,54.8887,12.07173,611.2072420987216,1825.6578369140625,1014.5606023615056,83.55549136075106,9.572531873529607,29.87272748080167,9.981818155808883,,,,,,,,,,0.529,1.15,12.73,1.74,10.13,2.28,2.87,2.8,2.59,2.42,2.41,13.01,2.3,0.9179999999999999,3.59,22.69,10.78,123.3,82.25,118.0
4,1814987,https://boliga.dk/bolig/1814987,Askø Strandvig 58,4942,Askø,62,800000,12903.0,1000,789,1969,-,40000,3.0,False,Lolland,0A3F50AF-C1B9-32B8-E044-0003BA298018,54.89099,11.5004,586.9426685680043,1788.477871981534,1014.5276933149858,82.91612313010476,9.717291138388894,30.2727274461226,10.109090805053713,,,,,,,,,,7.74,7.52,16.31,9.84,14.96,17.11,9.78,17.32,14.33,13.49,17.7,17.32,17.83,12.78,15.45,19.4,16.64,136.56,108.72,144.51
5,1814654,https://boliga.dk/bolig/1814654,Grønspætten 419,9681,Ranum,54,875000,16203.0,88832,1905,1993,-,45000,3.0,False,Vesthimmerlands,0A3F50C8-85DB-32B8-E044-0003BA298018,56.89255,9.17565,,,,,,,,,,,,,,,,,0.523,0.484,51.83,0.308,14.59,11.12,7.87,4.71,4.74,4.13,4.22,19.63,11.98,4.8,4.99,19.68,43.84,65.95,106.8,287.49
6,1814626,https://boliga.dk/bolig/1814626,Stubbegårdsparken 130,4900,Nakskov,63,948000,15047.0,911,844,1981,-,50000,3.0,False,Lolland,0A3F50B1-14AE-32B8-E044-0003BA298018,54.7489,11.05919,586.9426685680043,1788.477871981534,1014.5276933149858,82.91612313010476,9.717291138388894,30.2727274461226,10.109090805053713,,,,,,,,,,0.728,0.8059999999999999,12.67,4.75,20.26,12.74,11.53,6.55,11.53,6.35,12.87,12.96,15.04,1.41,11.86,16.15,32.51,119.01,130.13,164.85
7,1814657,https://boliga.dk/bolig/1814657,Tulipanvej 6,9690,Fjerritslev,170,950000,5588.0,1706,1924,1988,-,50000,5.0,False,Jammerbugt,0A3F50C7-4805-32B8-E044-0003BA298018,57.14909,9.37307,735.8167669122869,1709.1561279296875,1012.9338711825284,83.06785514137961,8.771758339621805,28.60909080505371,12.563636302947998,,,,,,,,,,4.22,0.768,39.71,0.503,8.84,10.93,2.78,10.75,7.65,7.66,11.11,10.75,10.74,0.8009999999999999,13.33,48.16,42.59,44.08,126.8,307.49
8,1815000,https://boliga.dk/bolig/1815000,"Nellemannsvej 33, Lyngså",9300,Sæby,84,975000,11607.0,1534,1315,1965,-,50000,4.0,False,Frederikshavn,0A3F50C9-88BA-32B8-E044-0003BA298018,57.26143,10.53949,734.6324379660866,1793.5801890980113,1012.745488947088,83.4765555641868,8.720010670748623,27.881818077780984,11.681818355213512,,,,,,,,,,0.956,2.95,21.29,3.14,11.55,9.42,7.39,8.2,7.39,8.94,8.43,9.51,8.82,1.84,13.84,21.9,11.88,61.78,126.07,311.93
9,1814773,https://boliga.dk/bolig/1814773,"Porsevej 137, Gjellerodde",7620,Lemvig,73,995000,13630.0,914,1203,1973,-,50000,4.0,False,Lemvig,0A3F50BE-7BED-32B8-E044-0003BA298018,56.58996,8.278080000000001,860.8968200683594,1641.976318359375,1013.157304243608,84.23929526589133,9.209897648204457,29.718181783502754,9.909091017462993,,,,,,,,,,0.78,5.58,5.58,6.02,5.81,5.87,6.55,6.38,6.34,5.75,5.92,6.38,6.8,10.02,1.39,6.91,38.97,78.91,139.72,312.7
