,id,link,Adress,zip,city,size,price,sq_m_price,lotsize,ejerudbetaling,buildyear,energy_class,downPayment,n_rooms,selfsale,dawaID,latitude,longitude,boliga_plus
0,1814543,https://boliga.dk/bolig/1814543,"Solbjergvej 11, Sønderby",6470,Sydals,60,698000,11633.0,698,2152,1972,-,35000,4.0,False,0A3F50B7-9174-32B8-E044-0003BA298018,54.86934,9.88946,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.05, 'risk': 5}"
1,1814191,https://boliga.dk/bolig/1814191,"Engbakken 2, Skuldelev",4050,Skibby,31,715000,23064.0,1200,1247,1965,-,40000,2.0,False,0A3F50AA-6FCA-32B8-E044-0003BA298018,55.79278,12.04941,"{'skybrud': 8, 'stormflod': 2, 'vandloeb': 0, 'grundvand': 6, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.03, 'risk': 2}"
2,1814405,https://boliga.dk/bolig/1814405,Lyngvej 88,4560,Vig,45,748000,16622.0,2490,1640,1957,-,40000,2.0,False,0A3F50AF-3A3A-32B8-E044-0003BA298018,55.86256,11.53105,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.03, 'risk': 5}"
3,1814181,https://boliga.dk/bolig/1814181,"Tøtmosen 30, Egense",9280,Storvorde,139,795000,5719.0,1248,1212,1972,-,40000,3.0,False,0A3F50C9-0E21-32B8-E044-0003BA298018,56.97685,10.28362,"{'skybrud': 3, 'stormflod': 2, 'vandloeb': 0, 'grundvand': 6, 'radon': 5, 'jordforurening': 1, 'luftforurening': 3, 'opklaringspct': 0.04, 'risk': 5}"
4,1814282,https://boliga.dk/bolig/1814282,Svaleklint 28,4592,Sejerø,46,825000,17934.0,1200,1098,1972,-,45000,3.0,False,0A3F50AC-9AE5-32B8-E044-0003BA298018,55.8998,11.12534,"{'skybrud': 8, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 6, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': -999.0, 'risk': 1}"
5,1814430,https://boliga.dk/bolig/1814430,Lupinvej 11,4760,Vordingborg,42,975000,23214.0,490,1451,1962,-,50000,3.0,False,0A3F50B1-BB4B-32B8-E044-0003BA298018,55.01235,11.86093,"{'skybrud': 5, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 7, 'radon': 9, 'jordforurening': 1, 'luftforurening': 3, 'opklaringspct': 0.07, 'risk': 3}"
6,1814484,https://boliga.dk/bolig/1814484,"Svanevænget 15, Nr Bork",6893,Hemmet,73,985000,13493.0,1018,2120,1973,-,50000,4.0,False,0A3F50BD-47BE-32B8-E044-0003BA298018,55.83745,8.27511,"{'skybrud': 9, 'stormflod': 4, 'vandloeb': 4, 'grundvand': 8, 'radon': 4, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.09, 'risk': 3}"
7,1814447,https://boliga.dk/bolig/1814447,"Stormvej 18, Atterup",4571,Grevinge,48,995000,20729.0,1158,1227,1971,-,50000,3.0,False,0A3F50AC-CEF6-32B8-E044-0003BA298018,55.80321,11.64268,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.02, 'risk': 4}"
8,1814460,https://boliga.dk/bolig/1814460,"Kirkeflod 3, Houstrup",6830,Nørre Nebel,65,1075000,16538.0,1129,1865,1982,-,55000,4.0,False,0A3F50B8-71DE-32B8-E044-0003BA298018,55.78332,8.22292,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 4, 'jordforurening': 1, 'luftforurening': 2, 'opklaringspct': 0.06, 'risk': 1}"
9,1814528,https://boliga.dk/bolig/1814528,"Blåbærvej 6, Hvidbjerg",7080,Børkop,80,1150000,14375.0,1327,2042,1970,-,60000,4.0,False,0A3F50BA-4F53-32B8-E044-0003BA298018,55.64194,9.737,"{'skybrud': 5, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 5, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.06, 'risk': 5}"
