,id,link,Adress,zip,city,size,latitude,longitude,hled
0,1814141,boliga.dk/bolig/1814141,"Odinsvej 6, Søndbjerg",7790,Thyholm,70,56.61258,8.58581,"{'Kyst': '509 meter', 'Stoppested': '1.12 km', 'Regionaltog': '3.21 km', 'Fodboldbane': '3.56 km', 'Modulvogntog': '3.79 km', 'Bibliotek': '6.70 km', 'Daginstitution': '6.77 km', 'Idrætshal': '6.77 km', 'Skole': '6.87 km', 'Supermarked': '7.08 km', 'Læge': '7.16 km', 'Svømmehal': '19.47 km', 'Apotek': '19.51 km', 'Skov': '23.97 km', 'Sø': '25.84 km', 'Hospital': '29.65 km', 'Motorvej': '31.00 km', 'Lufthavn': '65.86 km', 'S-Tog': '132.04 km', 'Metro': '305.03 km'}"
1,1814132,boliga.dk/bolig/1814132,"Toften 93, Nr Hurup",9560,Hadsund,72,56.81934,10.26381,"{'Stoppested': '565 meter', 'Kyst': '799 meter', 'Skov': '1.98 km', 'Fodboldbane': '2.07 km', 'Supermarked': '2.11 km', 'Daginstitution': '7.39 km', 'Bibliotek': '7.71 km', 'Skole': '7.73 km', 'Idrætshal': '7.76 km', 'Læge': '8.03 km', 'Sø': '12.51 km', 'Svømmehal': '15.59 km', 'Apotek': '17.69 km', 'Modulvogntog': '19.04 km', 'Regionaltog': '28.01 km', 'Hospital': '41.58 km', 'Lufthavn': '48.60 km', 'Motorvej': '49.39 km', 'S-Tog': '69.38 km', 'Metro': '254.94 km'}"
2,1814118,boliga.dk/bolig/1814118,"Kirkehøjvej 40K Dør/lejl. K1, Bork Havn",6893,Hemmet,52,55.84927,8.28204,
3,1814101,boliga.dk/bolig/1814101,Søgårdsvej 27,6823,Ansager,87,55.72074,8.77437,"{'Stoppested': '509 meter', 'Daginstitution': '631 meter', 'Skov': '746 meter', 'Skole': '1.24 km', 'Fodboldbane': '2.20 km', 'Supermarked': '2.24 km', 'Bibliotek': '2.32 km', 'Læge': '2.46 km', 'Regionaltog': '2.49 km', 'Apotek': '2.61 km', 'Idrætshal': '2.84 km', 'Svømmehal': '3.32 km', 'Sø': '4.55 km', 'Motorvej': '7.26 km', 'Modulvogntog': '15.76 km', 'Hospital': '17.42 km', 'Kyst': '19.96 km', 'S-Tog': '24.95 km', 'Metro': '59.58 km', 'Lufthavn': '68.06 km'}"
4,1814123,boliga.dk/bolig/1814123,"Livøvej 3, Amtoft",7742,Vesløs,62,57.0092,8.96465,"{'Kyst': '880 meter', 'Supermarked': '1.60 km', 'Stoppested': '1.72 km', 'Modulvogntog': '3.62 km', 'Skole': '3.85 km', 'Fodboldbane': '3.95 km', 'Idrætshal': '3.95 km', 'Daginstitution': '3.96 km', 'Sø': '4.20 km', 'Skov': '5.45 km', 'Læge': '10.24 km', 'Svømmehal': '19.48 km', 'Regionaltog': '20.51 km', 'Bibliotek': '20.61 km', 'Apotek': '22.31 km', 'Hospital': '26.09 km', 'Lufthavn': '66.36 km', 'Motorvej': '68.90 km', 'S-Tog': '131.97 km', 'Metro': '312.66 km'}"
5,1813851,boliga.dk/bolig/1813851,Bøgedal 11,8643,Ans By,51,56.30251,9.64235,"{'Modulvogntog': '676 meter', 'Sø': '1.96 km', 'Skov': '2.74 km', 'Stoppested': '3.24 km', 'Supermarked': '3.27 km', 'Idrætshal': '3.71 km', 'Skole': '3.71 km', 'Læge': '3.73 km', 'Daginstitution': '3.85 km', 'Fodboldbane': '3.86 km', 'Regionaltog': '11.14 km', 'Bibliotek': '11.35 km', 'Svømmehal': '13.18 km', 'Apotek': '14.04 km', 'Motorvej': '18.14 km', 'Hospital': '19.04 km', 'Kyst': '34.25 km', 'S-Tog': '37.21 km', 'Lufthavn': '37.83 km', 'Metro': '210.20 km'}"
6,1813892,boliga.dk/bolig/1813892,"Hans Hansensvej 61, Houstrup",6830,Nørre Nebel,52,55.78481,8.23576,
7,1814133,boliga.dk/bolig/1814133,"Ingeborgvej 2 Dør/lejl. 1003, Munkens Klit",9480,Løkken,100,57.33137,9.67913,
8,1813860,boliga.dk/bolig/1813860,Poppelvænget 8,4850,Stubbekøbing,68,54.93102,11.97606,"{'Stoppested': '1.23 km', 'Kyst': '1.39 km', 'Skov': '1.75 km', 'Sø': '6.00 km', 'Idrætshal': '15.26 km', 'Læge': '20.80 km', 'Svømmehal': '21.25 km', 'Apotek': '21.38 km', 'Bibliotek': '21.43 km', 'Daginstitution': '21.45 km', 'Skole': '21.53 km', 'Supermarked': '27.60 km', 'Regionaltog': '33.18 km', 'Modulvogntog': '43.11 km', 'Hospital': '49.14 km', 'Lufthavn': '57.33 km', 'Motorvej': '75.72 km', 'S-Tog': '131.78 km', 'Metro': '267.85 km'}"
9,1813939,boliga.dk/bolig/1813939,"Grævlingehaven 19, Ellinge Kohave",4573,Højby,66,55.89637,11.56475,
10,1814063,boliga.dk/bolig/1814063,"To-Bjerg 100, Uglerup",4300,Holbæk,49,55.78177,11.68996,"{'Kyst': '640 meter', 'Stoppested': '1.25 km', 'Daginstitution': '4.48 km', 'Fodboldbane': '4.48 km', 'Idrætshal': '4.52 km', 'Skole': '5.01 km', 'Supermarked': '5.14 km', 'Skov': '5.27 km', 'Motorvej': '11.19 km', 'Regionaltog': '11.20 km', 'Modulvogntog': '12.69 km', 'Læge': '13.06 km', 'Bibliotek': '13.49 km', 'Svømmehal': '13.53 km', 'Apotek': '14.42 km', 'Sø': '14.95 km', 'Hospital': '15.69 km', 'S-Tog': '46.83 km', 'Metro': '68.88 km', 'Lufthavn': '84.92 km'}"
11,1814090,boliga.dk/bolig/1814090,Æblevej 63,3770,Allinge,47,55.27074,14.80605,
12,1814013,boliga.dk/bolig/1814013,Bolværksstræde 27,4983,Dannemare,71,54.7104,11.22663,"{'Kyst': '296 meter', 'Stoppested': '1.50 km', 'Skov': '1.56 km', 'Skole': '6.54 km', 'Daginstitution': '6.54 km', 'Supermarked': '7.70 km', 'Idrætshal': '9.46 km', 'Fodboldbane': '10.39 km', 'Bibliotek': '11.08 km', 'Regionaltog': '11.88 km', 'Læge': '12.17 km', 'Svømmehal': '12.21 km', 'Apotek': '12.72 km', 'Modulvogntog': '14.06 km', 'Motorvej': '14.49 km', 'Sø': '14.67 km', 'Hospital': '19.12 km', 'S-Tog': '119.07 km', 'Lufthavn': '122.70 km', 'Metro': '153.71 km'}"
13,1814014,boliga.dk/bolig/1814014,Vermundsvej 15,3630,Jægerspris,76,55.93127,11.91694,"{'Stoppested': '450 meter', 'Daginstitution': '484 meter', 'Idrætshal': '686 meter', 'Fodboldbane': '686 meter', 'Skole': '943 meter', 'Modulvogntog': '1.38 km', 'Supermarked': '1.45 km', 'Læge': '1.75 km', 'Apotek': '1.93 km', 'Regionaltog': '2.03 km', 'Bibliotek': '2.38 km', 'Sø': '2.85 km', 'Svømmehal': '3.07 km', 'Motorvej': '3.70 km', 'Skov': '4.35 km', 'Hospital': '4.51 km', 'Kyst': '8.53 km', 'S-Tog': '57.57 km', 'Lufthavn': '79.85 km', 'Metro': '87.23 km'}"
14,1814062,boliga.dk/bolig/1814062,"Engvej 25, Kisserup",4300,Holbæk,76,55.78541,11.71412,"{'Kyst': '952 meter', 'Stoppested': '1.30 km', 'Skov': '3.09 km', 'Supermarked': '3.65 km', 'Skole': '3.77 km', 'Fodboldbane': '4.29 km', 'Idrætshal': '4.29 km', 'Daginstitution': '4.33 km', 'Motorvej': '12.59 km', 'Regionaltog': '13.38 km', 'Læge': '14.41 km', 'Modulvogntog': '14.78 km', 'Bibliotek': '14.85 km', 'Svømmehal': '14.88 km', 'Apotek': '15.82 km', 'Sø': '16.75 km', 'Hospital': '17.09 km', 'S-Tog': '48.18 km', 'Metro': '70.23 km', 'Lufthavn': '86.32 km'}"
